instance_id,repo,language,difficulty,confidence,created_at,base_commit,image_name,license,num_modified_files,num_modified_lines,fail_to_pass_count,pass_to_pass_count,pr_categories,pr_labels,pr_url
unidata__netcdf-c-1301,Unidata/netcdf-c,c,easy,0.96,2019-01-29 20:44:34,9b073894fe2ba02dbffab8a30754af2bf7917d02,docker.io/swerebenchv2/unidata-netcdf-c:1301-9b07389,BSD-3-Clause,1,3,1,174,regression_bug,area/DAP2,
unidata__netcdf-c-1523,Unidata/netcdf-c,c,easy,0.97,2019-11-13 19:16:15,108e938b2f50dab47175b011aa731b8f119b3dc5,docker.io/swerebenchv2/unidata-netcdf-c:1523-108e938,BSD-3-Clause,1,14,14,172,minor_bug,,
unidata__netcdf-c-1530,Unidata/netcdf-c,c,easy,0.97,2019-11-15 18:15:08,1a6351dab2bdb1ac511477e617959b65fa3ad186,docker.io/swerebenchv2/unidata-netcdf-c:1530-1a6351d,BSD-3-Clause,1,20,15,172,major_bug,,
unidata__netcdf-c-1564,Unidata/netcdf-c,c,easy,0.98,2019-12-01 15:50:55,fe5614e1842917b7fef9bdce6ac24d24ca018fbe,docker.io/swerebenchv2/unidata-netcdf-c:1564-fe5614e,BSD-3-Clause,1,4,14,173,critical_bug,,
unidata__netcdf-c-1781,Unidata/netcdf-c,c,easy,0.98,2020-07-08 17:13:50,933a8979c1f2b32c3d73ec4a390106f1a592d1c3,docker.io/swerebenchv2/unidata-netcdf-c:1781-933a897,BSD-3-Clause,2,4,17,173,minor_bug,,
unidata__netcdf-c-2003,Unidata/netcdf-c,c,easy,0.97,2021-05-18 20:07:34,92e8808cd9b2b5d591f784d8868fe1bebdf74a0d,docker.io/swerebenchv2/unidata-netcdf-c:2003-92e8808,BSD-3-Clause,14,30,1,0,major_bug,,
aperezdc__ngx-fancyindex-118,aperezdc/ngx-fancyindex,c,easy,0.98,2020-10-26 20:33:29,4fc6bb10d7ac19a8cdaf6c811382f3b93712bd14,docker.io/swerebenchv2/aperezdc-ngx-fancyindex:118-4fc6bb1,custom-check-github,1,1,5,13,minor_bug,bug,
aperezdc__ngx-fancyindex-150,aperezdc/ngx-fancyindex,c,easy,0.99,2022-05-13 05:26:46,b9ecd5bcb4c77f43c610f1a7d147e14210b9a330,docker.io/swerebenchv2/aperezdc-ngx-fancyindex:150-b9ecd5b,custom-check-github,1,4,1,18,minor_bug,,
aperezdc__ngx-fancyindex-158,aperezdc/ngx-fancyindex,c,easy,0.98,2023-01-19 18:59:41,1494521744ee01586bcdd0d927368bf5ef7a02aa,docker.io/swerebenchv2/aperezdc-ngx-fancyindex:158-1494521,custom-check-github,1,1,1,19,minor_bug,bug,
aperezdc__ngx-fancyindex-97,aperezdc/ngx-fancyindex,c,easy,0.98,2018-08-15 12:29:26,a3929d707431079c922c57b4190c380afa2c9101,docker.io/swerebenchv2/aperezdc-ngx-fancyindex:97-a3929d7,custom-check-github,1,16,1,9,minor_bug,bug,
kripken__emscripten-5500,kripken/emscripten,c,easy,0.97,2017-08-22 07:49:45,85b5b275b748c8ee1224f06893ea15ea3b5d18b4,docker.io/swerebenchv2/kripken-emscripten:5500-85b5b27,custom-check-github,1,1,2,0,minor_bug,,
kripken__emscripten-5742,kripken/emscripten,c,easy,0.97,2017-11-06 12:37:35,8fd1135c16791e0aa191fef72722b4ac276f806e,docker.io/swerebenchv2/kripken-emscripten:5742-8fd1135,custom-check-github,1,12,2,0,minor_bug,,
kripken__emscripten-5744,kripken/emscripten,c,easy,0.98,2017-11-06 13:48:56,c1220cdc85303b964495c0e25ee8cfb253e71d47,docker.io/swerebenchv2/kripken-emscripten:5744-c1220cd,custom-check-github,1,7,2,0,minor_bug,,
kripken__emscripten-6096,kripken/emscripten,c,easy,0.97,2018-01-17 00:37:49,20486c99be91d91dad04e1c3011961f3a048706c,docker.io/swerebenchv2/kripken-emscripten:6096-20486c9,custom-check-github,2,2,2,0,minor_bug,,
kripken__emscripten-6462,kripken/emscripten,c,easy,0.98,2018-04-19 22:04:40,be97a5152e665ed9b6fe7aa6c108d37cc347b66d,docker.io/swerebenchv2/kripken-emscripten:6462-be97a51,custom-check-github,2,4,3,0,major_bug,,
kripken__emscripten-6575,kripken/emscripten,c,easy,0.97,2018-05-23 20:04:11,f18422704fe7873c2bf74b38e1139bf2269773da,docker.io/swerebenchv2/kripken-emscripten:6575-f184227,custom-check-github,1,3,3,0,regression_bug,,
lz4__lz4-1442,lz4/lz4,c,easy,0.97,2024-07-13 05:28:22,36fc176001bc848c22ad1839724dbe2ed24c69f5,docker.io/swerebenchv2/lz4-lz4:1442-36fc176,custom-check-github,1,3,2,0,major_bug,,
mattn__go-sqlite3-431,mattn/go-sqlite3,c,easy,0.99,2017-06-30 18:24:08,afe454f6220b3972691678af2c5579781563183f,docker.io/swerebenchv2/mattn-go-sqlite3:431-afe454f,MIT,1,3,1,0,edge_case_bug|minor_bug,,
mattn__go-sqlite3-591,mattn/go-sqlite3,c,easy,0.98,2018-06-12 09:07:17,f268891078ea39463d1263e9f8036cf1adef08c4,docker.io/swerebenchv2/mattn-go-sqlite3:591-f268891,MIT,1,0,1,0,minor_bug,,
nanomsg__nng-1257,nanomsg/nng,c,easy,0.97,2020-06-16 18:10:45,59301ab3f80991086519124d020edbe94a74615c,docker.io/swerebenchv2/nanomsg-nng:1257-59301ab,MIT,1,0,280,91,regression_bug,,
nanomsg__nng-1305,nanomsg/nng,c,easy,0.97,2020-10-25 19:56:23,206de0ad6f338c7e375885443836fbb44853550b,docker.io/swerebenchv2/nanomsg-nng:1305-206de0a,MIT,1,6,288,92,regression_bug,,
redis__redis-10440,redis/redis,c,easy,0.97,2022-03-18 05:56:49,b9656adbd9c6a670e5c89b19c7721057c7d89c24,docker.io/swerebenchv2/redis-redis:10440-b9656ad,custom-check-github,1,1,1658,936,critical_bug,,
redis__redis-13711,redis/redis,c,easy,0.97,2024-12-29 15:26:39,dc57ee03b1c5b8f646718e362f3a809a7511ad36,docker.io/swerebenchv2/redis-redis:13711-dc57ee0,custom-check-github,1,2,447,265,major_bug,,
redis__redis-8719,redis/redis,c,easy,0.97,2021-03-29 15:00:58,315df9ada056841c3acb6e4c1052b60ef61072e8,docker.io/swerebenchv2/redis-redis:8719-315df9a,custom-check-github,1,12,199,1770,minor_bug,release-notes: indication that this issue needs to be mentioned in the release notes,
redis__redis-9244,redis/redis,c,easy,0.99,2021-07-16 15:06:18,f03af47a34ec672a7d9b18150a5be3a83681c19b,docker.io/swerebenchv2/redis-redis:9244-f03af47,custom-check-github,1,1,118,1807,minor_bug,"release-notes: indication that this issue needs to be mentioned in the release notes|state:to-be-merged: The PR should be merged soon, even if not yet ready, this is used so that it won't be forgotten",
ruby__bigdecimal-353,ruby/bigdecimal,c,easy,0.96,2025-06-13 11:53:02,f8928e22faa73444db75a9dbb7690eede4f2a9fd,docker.io/swerebenchv2/ruby-bigdecimal:353-f8928e2,custom-check-github,1,1,1,0,minor_bug,,
ruby__prism-2081,ruby/prism,c,easy,0.97,2023-12-14 17:48:45,6e32cc345ab4dbc6cd72e1b3abbe754934ca8c00,docker.io/swerebenchv2/ruby-prism:2081-6e32cc3,MIT,1,3,1,0,minor_bug,,
ruby__yarp-1517,ruby/yarp,c,easy,0.97,2023-09-15 16:38:33,9d0af98837e6553322d34d632d2b78d61f09486d,docker.io/swerebenchv2/ruby-yarp:1517-9d0af98,MIT,1,10,1,0,minor_bug,,
samtools__htslib-1800,samtools/htslib,c,easy,0.99,2024-07-01 13:59:25,61b922b4d95c70af248e4c21bd552172ae3f82d1,docker.io/swerebenchv2/samtools-htslib:1800-61b922b,custom-check-github,1,3,14,0,minor_bug,,
unidata__netcdf-c-1959,Unidata/netcdf-c,c,hard,0.96,2021-03-06 21:13:29,73e7b842941375bcbc9e05e5285aa6b7c9664b8b,docker.io/swerebenchv2/unidata-netcdf-c:1959-73e7b84,BSD-3-Clause,13,405,1,193,major_bug,,
redis__redis-10300,redis/redis,c,hard,0.95,2022-02-15 08:03:49,34e70c13c99cdd2419610443ae84287a3080d54c,docker.io/swerebenchv2/redis-redis:10300-34e70c1,custom-check-github,13,64,1471,1247,core_feat,state:major-decision: Requires core team consensus|release-notes: indication that this issue needs to be mentioned in the release notes|breaking-change: This change can potentially break existing application,
unidata__netcdf-c-1464,Unidata/netcdf-c,c,medium,0.96,2019-08-14 12:56:08,f9e7037b44209a4540f5c107aa76c9a3c15c3a4a,docker.io/swerebenchv2/unidata-netcdf-c:1464-f9e7037,BSD-3-Clause,12,282,1,0,dev_ops_enh,,
unidata__netcdf-c-1528,Unidata/netcdf-c,c,medium,0.95,2019-11-15 16:31:15,1a6351dab2bdb1ac511477e617959b65fa3ad186,docker.io/swerebenchv2/unidata-netcdf-c:1528-1a6351d,BSD-3-Clause,2,29,14,173,regression_bug|minor_bug,,
unidata__netcdf-c-1561,Unidata/netcdf-c,c,medium,0.96,2019-11-26 14:01:24,fe5614e1842917b7fef9bdce6ac24d24ca018fbe,docker.io/swerebenchv2/unidata-netcdf-c:1561-fe5614e,BSD-3-Clause,8,12,1,0,dev_ops_enh,,
unidata__netcdf-c-1566,Unidata/netcdf-c,c,medium,0.96,2019-12-01 22:09:00,fe5614e1842917b7fef9bdce6ac24d24ca018fbe,docker.io/swerebenchv2/unidata-netcdf-c:1566-fe5614e,BSD-3-Clause,8,33,1,0,minor_bug,,
unidata__netcdf-c-1570,Unidata/netcdf-c,c,medium,0.97,2019-12-04 16:18:28,7ba4e4d48d58992061d4ab7ca5d7f1427a467acc,docker.io/swerebenchv2/unidata-netcdf-c:1570-7ba4e4d,BSD-3-Clause,7,117,87,100,core_feat,,
unidata__netcdf-c-1662,Unidata/netcdf-c,c,medium,0.96,2020-03-06 16:56:09,4a24a78aa3aaa76dc80ab51bf40a735f3cb0e0ca,docker.io/swerebenchv2/unidata-netcdf-c:1662-4a24a78,BSD-3-Clause,5,11,17,173,major_bug,,
unidata__netcdf-c-1674,Unidata/netcdf-c,c,medium,0.98,2020-03-16 17:01:48,0251ce7101095d1d4a451d5f499847968e33b571,docker.io/swerebenchv2/unidata-netcdf-c:1674-0251ce7,BSD-3-Clause,1,9,17,174,regression_bug,,
unidata__netcdf-c-1692,Unidata/netcdf-c,c,medium,0.96,2020-04-08 14:33:04,b51767ebd413b23192292900b27822c20b04e3a1,docker.io/swerebenchv2/unidata-netcdf-c:1692-b51767e,BSD-3-Clause,3,70,91,100,regression_bug,,
unidata__netcdf-c-1828,Unidata/netcdf-c,c,medium,0.97,2020-09-02 14:49:20,ff9d1b23edac665253aa65919a5801375b468483,docker.io/swerebenchv2/unidata-netcdf-c:1828-ff9d1b2,BSD-3-Clause,6,38,17,174,major_bug,,
unidata__netcdf-c-1849,Unidata/netcdf-c,c,medium,0.97,2020-09-24 20:35:38,e9af580db3aee28a3584598152e0cf825fa3d0c6,docker.io/swerebenchv2/unidata-netcdf-c:1849-e9af580,BSD-3-Clause,10,139,1,0,core_feat|performance_bug,,
unidata__netcdf-c-2075,Unidata/netcdf-c,c,medium,0.97,2021-08-13 22:13:16,f676bb3575ae4187758bad84804a16315f9da20a,docker.io/swerebenchv2/unidata-netcdf-c:2075-f676bb3,BSD-3-Clause,10,32,1,0,minor_bug,,
bitcoin-core__secp256k1-701,bitcoin-core/secp256k1,c,medium,0.97,2019-12-17 17:29:24,4f27e344c69c33b4f3f448baa0196b9892287081,docker.io/swerebenchv2/bitcoin-core-secp256k1:701-4f27e34,MIT,7,144,2,0,core_feat|documentation_enh,,
bmatsuo__lmdb-go-57,bmatsuo/lmdb-go,c,medium,0.96,2016-03-08 06:20:05,a262eeec14e2d0725a859020b0dbbcc4e62b6796,docker.io/swerebenchv2/bmatsuo-lmdb-go:57-a262eee,BSD-3-Clause,3,66,1,0,critical_bug,,
bmatsuo__lmdb-go-97,bmatsuo/lmdb-go,c,medium,0.96,2017-01-28 08:32:16,8ccf21e3a7107f904ea243d85c2ad3933c8a148c,docker.io/swerebenchv2/bmatsuo-lmdb-go:97-8ccf21e,BSD-3-Clause,1,27,1,0,major_bug,,
camshaft__bolero-251,camshaft/bolero,c,medium,0.97,2024-10-20 19:15:23,9d3840370dd6615b2287347baa3c8789de3aa4a1,docker.io/swerebenchv2/camshaft-bolero:251-9d38403,MIT,1,4,80,17,core_feat,,
facebook__zstd-1459,facebook/zstd,c,medium,0.97,2018-12-18 23:32:14,d0e15f8d327f72f891d4cae80850e3303f31ddb5,docker.io/swerebenchv2/facebook-zstd:1459-d0e15f8,custom-check-github,4,44,29,0,major_bug,CLA Signed,
jnwatson__py-lmdb-290,jnwatson/py-lmdb,c,medium,0.96,2021-04-15 04:00:52,7f5f3cafa2e20531e70df0edcb14d747595363c8,docker.io/swerebenchv2/jnwatson-py-lmdb:290-7f5f3ca,custom-check-github,1,12,2,189,regression_bug,,
kripken__emscripten-6099,kripken/emscripten,c,medium,0.96,2018-01-17 14:43:30,e8dfbf95ba37e57cf0fd02f3a73a799c59549dc8,docker.io/swerebenchv2/kripken-emscripten:6099-e8dfbf9,custom-check-github,12,176,2,0,core_feat,,
kripken__emscripten-6545,kripken/emscripten,c,medium,0.98,2018-05-16 23:59:53,d54eb4efb8c0bf7286d0971577f51b5851a940d0,docker.io/swerebenchv2/kripken-emscripten:6545-d54eb4e,custom-check-github,3,21,3,0,minor_bug,,
kripken__emscripten-6586,kripken/emscripten,c,medium,0.96,2018-05-25 11:49:16,74acd9bc4deeb69c51c13c9f5dc8721797f151d8,docker.io/swerebenchv2/kripken-emscripten:6586-74acd9b,custom-check-github,5,156,3,0,core_feat,,
kripken__emscripten-6702,kripken/emscripten,c,medium,0.97,2018-06-14 21:25:20,eb9fd18499250ae198868878bcd0f76afbe7df9a,docker.io/swerebenchv2/kripken-emscripten:6702-eb9fd18,custom-check-github,4,23,3,0,core_feat,,
kubernetes-sigs__security-profiles-operator-1236,kubernetes-sigs/security-profiles-operator,c,medium,0.97,2022-10-17 03:34:02,29d1b6b018093dddf75f7f677378e27da0f97990,docker.io/swerebenchv2/kubernetes-sigs-security-profiles-operator:1236-29d1b6b,Apache-2.0,12,128,19,0,minor_bug,"kind/bug: Categorizes issue or PR as related to a bug.|size/L: Denotes a PR that changes 100-499 lines, ignoring generated files.|release-note: Denotes a PR that will be considered when it comes time to generate release notes.|cncf-cla: yes: Indicates the PR's author has signed the CNCF CLA.|ok-to-test: Indicates a non-member PR verified by an org member that is safe to test.|lgtm: Indicates that a PR is ready to be merged.|approved: Indicates a PR has been approved by an approver from all required OWNERS files.",
kubernetes-sigs__security-profiles-operator-1278,kubernetes-sigs/security-profiles-operator,c,medium,0.96,2022-11-07 20:31:39,c44cab40b927f8e17022c385618b902b0f4ec093,docker.io/swerebenchv2/kubernetes-sigs-security-profiles-operator:1278-c44cab4,Apache-2.0,14,63,19,0,core_feat,"kind/feature: Categorizes issue or PR as related to a new feature.|size/L: Denotes a PR that changes 100-499 lines, ignoring generated files.|release-note: Denotes a PR that will be considered when it comes time to generate release notes.|cncf-cla: yes: Indicates the PR's author has signed the CNCF CLA.|kind/api-change: Categorizes issue or PR as related to adding, removing, or otherwise changing an API|lgtm: Indicates that a PR is ready to be merged.|approved: Indicates a PR has been approved by an approver from all required OWNERS files.",
kubernetes-sigs__security-profiles-operator-1600,kubernetes-sigs/security-profiles-operator,c,medium,0.97,2023-04-04 14:19:24,f51ef67222d1a5a62ddee1a168a478bf04c82053,docker.io/swerebenchv2/kubernetes-sigs-security-profiles-operator:1600-f51ef67,Apache-2.0,23,261,23,1,core_feat,"kind/feature: Categorizes issue or PR as related to a new feature.|size/L: Denotes a PR that changes 100-499 lines, ignoring generated files.|release-note: Denotes a PR that will be considered when it comes time to generate release notes.|cncf-cla: yes: Indicates the PR's author has signed the CNCF CLA.|lgtm: Indicates that a PR is ready to be merged.|approved: Indicates a PR has been approved by an approver from all required OWNERS files.",
linuxwacom__libwacom-120,linuxwacom/libwacom,c,medium,0.97,2019-07-02 04:52:10,397628bb9b107432c73a59d4dba2ff1c3815e9c9,docker.io/swerebenchv2/linuxwacom-libwacom:120-397628b,custom-check-github,8,195,1,0,core_feat,,
mattn__go-sqlite3-407,mattn/go-sqlite3,c,medium,0.97,2017-04-01 16:21:06,b2e464529e88db676302aa63a4ce36711633950e,docker.io/swerebenchv2/mattn-go-sqlite3:407-b2e4645,MIT,1,43,1,0,major_bug,,
nanomsg__nng-1089,nanomsg/nng,c,medium,0.98,2020-01-02 07:02:34,11985f8c59cccc0364bde7dd314e246ea53cff90,docker.io/swerebenchv2/nanomsg-nng:1089-11985f8,MIT,2,9,108,65,regression_bug,,
nanomsg__nng-1153,nanomsg/nng,c,medium,0.97,2020-01-19 17:41:50,0ace5d416cd77898b19bc124881aff4f5151f12f,docker.io/swerebenchv2/nanomsg-nng:1153-0ace5d4,MIT,4,63,264,77,dev_ops_enh,,
nanomsg__nng-1190,nanomsg/nng,c,medium,0.96,2020-02-07 03:15:34,28c38d4116ffe8a05123cf98f62f7a63fdd1c920,docker.io/swerebenchv2/nanomsg-nng:1190-28c38d4,MIT,6,561,295,62,core_feat|documentation_enh,,
nanomsg__nng-1233,nanomsg/nng,c,medium,0.98,2020-04-13 04:46:16,0e9e2f1b33ec115368aee5ab9939a9d2dc27b213,docker.io/swerebenchv2/nanomsg-nng:1233-0e9e2f1,MIT,4,44,278,92,core_feat,,
nanomsg__nng-1256,nanomsg/nng,c,medium,0.96,2020-06-15 17:54:30,2f288bddf5b501f029d080835f439ecd9c0eae47,docker.io/swerebenchv2/nanomsg-nng:1256-2f288bd,MIT,2,4,284,87,core_feat,,
redis__redis-13042,redis/redis,c,medium,0.97,2024-02-08 09:35:40,81666a651089938c9dbd5783481d22f064d22291,docker.io/swerebenchv2/redis-redis:13042-81666a6,custom-check-github,7,37,1826,1209,minor_bug,,
redis__redis-13117,redis/redis,c,medium,0.97,2024-03-06 14:26:58,9738ba9841e01ec3c7dde1618f295105b90f79c9,docker.io/swerebenchv2/redis-redis:13117-9738ba9,custom-check-github,9,71,540,467,core_feat,state:major-decision: Requires core team consensus|approval-needed: Waiting for core team approval to be merged,
redis__redis-13263,redis/redis,c,medium,0.97,2024-05-13 07:01:50,7010f41c9671d0a424459be33619b08bdc49838a,docker.io/swerebenchv2/redis-redis:13263-7010f41,custom-check-github,4,6,1852,1230,minor_bug,,
redis__redis-13958,redis/redis,c,medium,0.97,2025-04-18 23:41:50,a257b6b4ba9dc1c828258c922accab6fe74c60cd,docker.io/swerebenchv2/redis-redis:13958-a257b6b,custom-check-github,3,8,372,311,minor_bug,release-notes: indication that this issue needs to be mentioned in the release notes,
redis__redis-7881,redis/redis,c,medium,0.96,2020-10-04 12:35:46,66ee45b65cc8165ba86e98192920374dcd06d943,docker.io/swerebenchv2/redis-redis:7881-66ee45b,custom-check-github,9,81,92,1444,major_bug,backport-candidate: indication that this fix might be worth backporting to an older release version|release-notes: indication that this issue needs to be mentioned in the release notes,
redis__redis-9403,redis/redis,c,medium,0.97,2021-08-20 17:04:12,492d8d09613cff88f15dcef98732392b8d509eb1,docker.io/swerebenchv2/redis-redis:9403-492d8d0,custom-check-github,2,30,253,1769,minor_bug|performance_bug,"state:to-be-merged: The PR should be merged soon, even if not yet ready, this is used so that it won't be forgotten|release-notes: indication that this issue needs to be mentioned in the release notes",
ruby__bigdecimal-243,ruby/bigdecimal,c,medium,0.97,2022-11-30 21:40:52,4f23a5c8f38a757c51a456de74b471c82333ea4b,docker.io/swerebenchv2/ruby-bigdecimal:243-4f23a5c,custom-check-github,3,28,1,0,major_bug,,
ruby__bigdecimal-302,ruby/bigdecimal,c,medium,0.96,2024-09-05 21:02:56,de0634ce4a490cb237152dd0f1e7c790e80b28d4,docker.io/swerebenchv2/ruby-bigdecimal:302-de0634c,custom-check-github,1,2,1,0,core_feat,,
ruby__openssl-493,ruby/openssl,c,medium,0.97,2022-01-18 22:20:38,ee64d93cb20e7fca80eddbf711c56ae2fac9a825,docker.io/swerebenchv2/ruby-openssl:493-ee64d93,custom-check-github,2,61,1,0,core_feat,,
ruby__prism-1726,ruby/prism,c,medium,0.97,2023-10-23 18:31:55,1274464c7c5f5121f76d60cc15d31c97cc7f516f,docker.io/swerebenchv2/ruby-prism:1726-1274464,MIT,2,85,1,0,major_bug,,
