instance_id,language,difficulty,prompt_chars,interface_chars,url_count,code_fence_count,checkbox_line_count,file_path_hint_count,signature_block_count,needs_deepswe_prompt_change,reasons
aperezdc__ngx-fancyindex-118,c,easy,1095,1387,0,4,0,0,4,True,interface_dump|code_fences|signature_blocks
aperezdc__ngx-fancyindex-150,c,easy,238,33,2,0,0,0,0,True,external_urls
aperezdc__ngx-fancyindex-158,c,easy,248,33,1,0,0,0,0,True,external_urls
aperezdc__ngx-fancyindex-97,c,easy,287,33,0,0,0,0,0,False,
kripken__emscripten-5500,c,easy,982,33,0,4,0,1,0,True,code_fences|file_path_hints
kripken__emscripten-5742,c,easy,798,33,1,0,0,1,0,True,external_urls|file_path_hints
kripken__emscripten-5744,c,easy,570,33,1,0,0,0,0,True,external_urls
kripken__emscripten-6096,c,easy,1036,33,0,8,0,4,0,True,code_fences|file_path_hints
kripken__emscripten-6462,c,easy,1538,666,0,8,0,10,4,True,interface_dump|code_fences|file_path_hints|signature_blocks
kripken__emscripten-6575,c,easy,4059,33,4,4,0,15,0,True,long_prompt|external_urls|code_fences|file_path_hints
lz4__lz4-1442,c,easy,1318,33,3,2,0,0,0,True,external_urls|code_fences
mattn__go-sqlite3-431,c,easy,1712,33,2,0,0,1,0,True,external_urls|file_path_hints
mattn__go-sqlite3-591,c,easy,610,33,1,4,0,2,0,True,external_urls|code_fences|file_path_hints
nanomsg__nng-1257,c,easy,614,448,2,0,0,0,4,True,interface_dump|external_urls|signature_blocks
nanomsg__nng-1305,c,easy,3759,33,0,6,0,0,0,True,long_prompt|code_fences
redis__redis-10440,c,easy,12413,33,0,2,0,0,0,True,long_prompt|code_fences
redis__redis-13711,c,easy,1358,33,1,6,0,0,0,True,external_urls|code_fences
redis__redis-8719,c,easy,757,33,0,2,0,0,0,True,code_fences
redis__redis-9244,c,easy,1123,1064,0,0,0,0,4,True,interface_dump|signature_blocks
ruby__bigdecimal-353,c,easy,167,33,0,2,0,0,0,True,code_fences
ruby__prism-2081,c,easy,1516,33,0,4,0,0,0,True,code_fences
ruby__yarp-1517,c,easy,861,33,0,4,0,0,0,True,code_fences
samtools__htslib-1800,c,easy,2260,1864,0,2,0,0,8,True,interface_dump|code_fences|signature_blocks
unidata__netcdf-c-1301,c,easy,974,33,1,2,0,0,0,True,external_urls|code_fences
unidata__netcdf-c-1523,c,easy,949,33,0,0,0,0,0,False,
unidata__netcdf-c-1530,c,easy,583,1652,1,0,0,0,8,True,interface_dump|external_urls|signature_blocks
unidata__netcdf-c-1564,c,easy,1469,33,0,2,0,0,0,True,code_fences
unidata__netcdf-c-1781,c,easy,772,33,0,4,0,0,0,True,code_fences
unidata__netcdf-c-2003,c,easy,1685,33,4,2,0,0,0,True,external_urls|code_fences
redis__redis-10300,c,hard,350,33,1,0,0,0,0,True,external_urls
unidata__netcdf-c-1959,c,hard,8114,33,24,0,0,3,0,True,long_prompt|external_urls|file_path_hints
bitcoin-core__secp256k1-701,c,medium,2153,3764,0,2,0,0,16,True,interface_dump|code_fences|signature_blocks
bmatsuo__lmdb-go-57,c,medium,2181,33,0,2,0,12,0,True,code_fences|file_path_hints
bmatsuo__lmdb-go-97,c,medium,2197,1196,0,6,0,9,4,True,interface_dump|code_fences|file_path_hints|signature_blocks
camshaft__bolero-251,c,medium,731,33,2,0,0,0,0,True,external_urls
facebook__zstd-1459,c,medium,394,33,0,0,0,0,0,False,
jnwatson__py-lmdb-290,c,medium,799,2738,0,4,0,1,16,True,interface_dump|code_fences|file_path_hints|signature_blocks
kripken__emscripten-6099,c,medium,90,4873,0,0,0,0,35,True,interface_dump|signature_blocks
kripken__emscripten-6545,c,medium,3152,1015,0,4,0,15,4,True,long_prompt|interface_dump|code_fences|file_path_hints|signature_blocks
kripken__emscripten-6586,c,medium,1301,1993,1,2,0,0,8,True,interface_dump|external_urls|code_fences|signature_blocks
kripken__emscripten-6702,c,medium,1572,33,0,2,0,0,0,True,code_fences
kubernetes-sigs__security-profiles-operator-1236,c,medium,2141,33,0,10,0,0,0,True,code_fences
kubernetes-sigs__security-profiles-operator-1278,c,medium,1405,934,0,0,0,0,4,True,interface_dump|signature_blocks
kubernetes-sigs__security-profiles-operator-1600,c,medium,1822,923,0,0,0,0,4,True,interface_dump|signature_blocks
linuxwacom__libwacom-120,c,medium,663,33,0,2,0,0,0,True,code_fences
mattn__go-sqlite3-407,c,medium,835,33,0,2,0,0,0,True,code_fences
nanomsg__nng-1089,c,medium,218,33,0,0,0,0,0,False,
nanomsg__nng-1153,c,medium,867,830,0,0,0,0,4,True,interface_dump|signature_blocks
nanomsg__nng-1190,c,medium,1088,1736,0,0,0,0,10,True,interface_dump|signature_blocks
nanomsg__nng-1233,c,medium,620,33,0,4,0,0,0,True,code_fences
nanomsg__nng-1256,c,medium,1375,33,0,2,0,0,0,True,code_fences
redis__redis-13042,c,medium,439,33,0,0,0,0,0,False,
redis__redis-13117,c,medium,736,2031,0,0,0,0,8,True,interface_dump|signature_blocks
redis__redis-13263,c,medium,277,33,0,0,0,0,0,False,
redis__redis-13958,c,medium,1430,33,0,2,0,0,0,True,code_fences
redis__redis-7881,c,medium,1136,3029,2,2,0,0,19,True,interface_dump|external_urls|code_fences|signature_blocks
redis__redis-9403,c,medium,622,1089,0,0,0,0,4,True,interface_dump|signature_blocks
ruby__bigdecimal-243,c,medium,411,700,1,2,0,0,4,True,interface_dump|external_urls|code_fences|signature_blocks
ruby__bigdecimal-302,c,medium,635,33,3,2,0,0,0,True,external_urls|code_fences
ruby__openssl-493,c,medium,250,873,0,0,0,0,4,True,interface_dump|signature_blocks
ruby__prism-1726,c,medium,4944,1689,0,8,0,0,8,True,long_prompt|interface_dump|code_fences|signature_blocks
ruby__prism-2043,c,medium,249,33,0,2,0,0,0,True,code_fences
ruby__prism-2118,c,medium,2374,33,0,2,0,0,0,True,code_fences
ruby__yarp-1370,c,medium,192,33,0,0,0,0,0,False,
ruby__yarp-1463,c,medium,1434,33,0,4,0,0,0,True,code_fences
ruby__yarp-1465,c,medium,1085,1286,0,4,0,0,8,True,interface_dump|code_fences|signature_blocks
ruby__yarp-1485,c,medium,2143,720,0,4,0,0,4,True,interface_dump|code_fences|signature_blocks
samtools__htslib-1594,c,medium,822,2219,1,0,0,0,16,True,interface_dump|external_urls|signature_blocks
samtools__htslib-1630,c,medium,865,2918,1,0,0,0,20,True,interface_dump|external_urls|signature_blocks
samtools__htslib-1702,c,medium,4258,33,2,6,0,0,0,True,long_prompt|external_urls|code_fences
samtools__htslib-1755,c,medium,210,2693,0,0,0,0,20,True,interface_dump|signature_blocks
samtools__htslib-1868,c,medium,433,1269,0,0,0,0,4,True,interface_dump|signature_blocks
tursodatabase__libsql-1153,c,medium,395,3565,0,0,0,0,23,True,interface_dump|signature_blocks
tursodatabase__libsql-1287,c,medium,2638,33,1,2,0,0,0,True,long_prompt|external_urls|code_fences
unidata__netcdf-c-1464,c,medium,1308,33,0,2,0,0,0,True,code_fences
unidata__netcdf-c-1528,c,medium,354,33,1,0,0,0,0,True,external_urls
unidata__netcdf-c-1561,c,medium,1583,33,0,2,0,0,0,True,code_fences
unidata__netcdf-c-1566,c,medium,2941,33,1,4,0,0,0,True,long_prompt|external_urls|code_fences
unidata__netcdf-c-1570,c,medium,790,3120,0,2,0,0,10,True,interface_dump|code_fences|signature_blocks
unidata__netcdf-c-1662,c,medium,1085,2701,0,0,0,0,12,True,interface_dump|signature_blocks
unidata__netcdf-c-1674,c,medium,319,1514,0,0,0,0,4,True,interface_dump|signature_blocks
unidata__netcdf-c-1692,c,medium,650,1982,0,0,0,0,8,True,interface_dump|signature_blocks
unidata__netcdf-c-1828,c,medium,1845,33,4,0,0,0,0,True,external_urls
unidata__netcdf-c-1849,c,medium,1663,1117,3,4,0,0,4,True,interface_dump|external_urls|code_fences|signature_blocks
unidata__netcdf-c-2075,c,medium,631,33,0,2,0,0,0,True,code_fences
valkey-io__valkey-1694,c,medium,1006,33,0,6,0,0,0,True,code_fences
valkey-io__valkey-206,c,medium,569,33,0,0,0,0,0,False,
valkey-io__valkey-809,c,medium,3549,33,1,2,0,0,0,True,long_prompt|external_urls|code_fences
bfgroup__b2-113,cpp,easy,1556,559,4,2,3,0,4,True,interface_dump|external_urls|code_fences|issue_template_boilerplate|signature_blocks
ccache__ccache-1233,cpp,easy,1322,33,0,4,0,0,0,True,code_fences
nvidia__cccl-1157,cpp,easy,3984,33,2,8,1,0,0,True,long_prompt|external_urls|code_fences|issue_template_boilerplate
nvidia__cccl-1298,cpp,easy,3984,33,2,8,1,0,0,True,long_prompt|external_urls|code_fences|issue_template_boilerplate
randombit__botan-2201,cpp,easy,542,33,0,0,0,1,0,True,file_path_hints
randombit__botan-3736,cpp,easy,2751,33,1,4,0,0,0,True,long_prompt|external_urls|code_fences
randombit__botan-4002,cpp,easy,664,33,1,2,0,0,0,True,external_urls|code_fences
redboltz__mqtt_cpp-466,cpp,easy,1050,33,0,4,0,0,0,True,code_fences
transmission__transmission-6177,cpp,easy,13057,33,0,4,0,0,0,True,long_prompt|code_fences
ucl__stir-1410,cpp,easy,1389,3132,1,2,0,0,28,True,interface_dump|external_urls|code_fences|signature_blocks
zeek__zeek-1028,cpp,easy,546,1771,0,4,0,0,12,True,interface_dump|code_fences|signature_blocks
zeek__zeek-1050,cpp,easy,595,33,1,4,0,0,0,True,external_urls|code_fences
zeek__zeek-1110,cpp,easy,638,760,0,2,0,0,4,True,interface_dump|code_fences|signature_blocks
zeek__zeek-1130,cpp,easy,943,33,1,6,0,0,0,True,external_urls|code_fences
zeek__zeek-1137,cpp,easy,303,33,0,2,0,0,0,True,code_fences
zeek__zeek-1732,cpp,easy,1149,33,1,4,0,0,0,True,external_urls|code_fences
zeek__zeek-1845,cpp,easy,414,33,0,2,0,0,0,True,code_fences
zeek__zeek-2055,cpp,easy,463,33,2,0,0,0,0,True,external_urls
zeek__zeek-2295,cpp,easy,918,33,0,6,0,0,0,True,code_fences
zeek__zeek-2327,cpp,easy,600,33,0,2,0,0,0,True,code_fences
zeek__zeek-2831,cpp,easy,540,33,0,2,0,0,0,True,code_fences
zeek__zeek-3007,cpp,easy,442,33,2,0,0,0,0,True,external_urls
zeek__zeek-3072,cpp,easy,570,33,1,2,0,0,0,True,external_urls|code_fences
zeek__zeek-3277,cpp,easy,1342,747,0,2,0,0,4,True,interface_dump|code_fences|signature_blocks
zeek__zeek-3280,cpp,easy,1038,33,1,4,0,0,0,True,external_urls|code_fences
zeek__zeek-3292,cpp,easy,1612,1125,1,8,0,0,4,True,interface_dump|external_urls|code_fences|signature_blocks
