instance_id,repo,language,difficulty,confidence,created_at,base_commit,image_name,license,num_modified_files,num_modified_lines,fail_to_pass_count,pass_to_pass_count,pr_categories,pr_labels,pr_url
99designs__aws-vault-1178,99designs/aws-vault,go,easy,0.97,2023-03-06 17:56:29,ec5e53c91b9990c39c0af69de45f21e436abaa23,docker.io/swerebenchv2/99designs-aws-vault:1178-ec5e53c,MIT,1,6,1,31,regression_bug|major_bug,,
99designs__gqlgen-3276,99designs/gqlgen,go,easy,0.98,2024-09-14 22:09:52,4157ef997ff03647fe4ff9ede27b505fc098932f,docker.io/swerebenchv2/99designs-gqlgen:3276-4157ef9,MIT,1,0,2,125,regression_bug|minor_bug,,
aftership__clickhouse-sql-parser-123,AfterShip/clickhouse-sql-parser,go,easy,0.98,2025-02-28 02:38:30,036e3cffe9d45c638d89fe62ea8f5c394eff3ae5,docker.io/swerebenchv2/aftership-clickhouse-sql-parser:123-036e3cf,MIT,2,3,6,413,major_bug,,
aftership__clickhouse-sql-parser-130,AfterShip/clickhouse-sql-parser,go,easy,0.98,2025-03-20 10:49:44,b083fa07d74c9790412559b8db8d86fc29cac682,docker.io/swerebenchv2/aftership-clickhouse-sql-parser:130-b083fa0,MIT,3,3,103,326,critical_bug,,
aftership__clickhouse-sql-parser-132,AfterShip/clickhouse-sql-parser,go,easy,0.97,2025-03-20 15:00:56,d03ad5b77f8c0621486596d2bc7e2bb8af2ffe7a,docker.io/swerebenchv2/aftership-clickhouse-sql-parser:132-d03ad5b,MIT,1,10,6,426,minor_bug,,
aftership__clickhouse-sql-parser-147,AfterShip/clickhouse-sql-parser,go,easy,0.96,2025-04-17 11:29:42,a0842a7c931cf191cf77b41679149e0d8ae170be,docker.io/swerebenchv2/aftership-clickhouse-sql-parser:147-a0842a7,MIT,2,2,6,438,minor_bug,,
azure__azure-workload-identity-1108,Azure/azure-workload-identity,go,easy,0.97,2023-09-08 18:58:44,6ea7815cc9b46946d3f8d8f457678fb25074268f,docker.io/swerebenchv2/azure-azure-workload-identity:1108-6ea7815,MIT,1,2,2,266,minor_bug,,
burntsushi__toml-339,BurntSushi/toml,go,easy,0.99,2022-01-12 05:44:31,7d0236fe74765a731cf768bea23b9132b8c2b9e0,docker.io/swerebenchv2/burntsushi-toml:339-7d0236f,MIT,1,4,1,563,minor_bug,,
burntsushi__toml-418,BurntSushi/toml,go,easy,0.97,2024-07-09 18:11:46,b7406c026f5af05e3e826cb01c78bc2841be4703,docker.io/swerebenchv2/burntsushi-toml:418-b7406c0,MIT,1,0,9,2480,minor_bug,,
c2fo__vfs-101,C2FO/vfs,go,easy,0.97,2021-09-16 19:16:03,535ae50ae96537f1a98d92f8322fdd1abbf8e94c,docker.io/swerebenchv2/c2fo-vfs:101-535ae50,MIT,2,10,8,332,minor_bug,size/S: Denotes a PR that changes 10-29 lines,
